10000,20000,30000,40000,50000,trial,p1,p2,q1,q2
939,1649,2404,3346,4007,1,0.4,0.2,0.3,0.1
860,1543,2464,3202,4098,2,0.4,0.2,0.3,0.1
866,1666,2515,3412,4187,3,0.4,0.2,0.3,0.1
807,1445,2254,3157,3980,4,0.4,0.2,0.3,0.1
631,1398,2123,2813,3850,5,0.4,0.2,0.3,0.1
856,1738,2529,3318,4342,6,0.4,0.2,0.3,0.1
858,1566,2360,3093,4197,7,0.4,0.2,0.3,0.1
816,1583,2266,2995,3903,8,0.4,0.2,0.3,0.1
916,1625,2619,3458,4356,9,0.4,0.2,0.3,0.1
3692,7094,10567,14345,17948,1,0.6,0.15,0.2,0.05
3822,7306,11110,14894,18842,2,0.6,0.15,0.2,0.05
3531,7062,10771,14520,18310,3,0.6,0.15,0.2,0.05
3559,7132,11032,14751,18576,4,0.6,0.15,0.2,0.05
3450,7001,10624,14574,17955,5,0.6,0.15,0.2,0.05
3745,7425,11086,14562,17838,6,0.6,0.15,0.2,0.05
3714,7448,10969,14514,18308,7,0.6,0.15,0.2,0.05
3806,7469,11191,14731,18330,8,0.6,0.15,0.2,0.05
3753,7528,11178,14878,18151,9,0.6,0.15,0.2,0.05
6702,13805,20914,27946,35107,1,0.6,0.3,0.07,0.03
7224,14014,20991,28213,34985,2,0.6,0.3,0.07,0.03
7090,14147,21019,28231,35201,3,0.6,0.3,0.07,0.03
7082,13904,21019,27954,34856,4,0.6,0.3,0.07,0.03
7086,14019,21228,27976,34588,5,0.6,0.3,0.07,0.03
6988,14127,20915,27973,34964,6,0.6,0.3,0.07,0.03
7037,13967,20774,27895,34824,7,0.6,0.3,0.07,0.03
7107,14444,21469,27856,34866,8,0.6,0.3,0.07,0.03
6796,13905,21204,28379,35461,9,0.6,0.3,0.07,0.03
